0.94117653,0.972549,1
0.98039222,0.92156869,0.84313732
0,1,1
0.49803925,1,0.83137262
0.94117653,1,1
0.96078438,0.96078438,0.86274517
1,0.89411771,0.76862752
0,0,0
1,0.92156869,0.80392164
0,0,1
0.5411765,0.16862746,0.88627458
0.64705885,0.16470589,0.16470589
0.8705883,0.72156864,0.52941179
0.37254903,0.61960787,0.627451
0.49803925,1,0
0.82352948,0.41176474,0.11764707
1,0.49803925,0.3137255
0.3921569,0.58431375,0.92941183
1,0.97254908,0.86274517
0.86274517,0.07843138,0.23529413
0,1,1
0,0,0.54509807
0,0.54509807,0.54509807
0.72156864,0.52549022,0.04313726
0.66274512,0.66274512,0.66274512
0,0.3921569,0
0.74117649,0.71764708,0.41960788
0.54509807,0,0.54509807
0.33333334,0.41960788,0.18431373
1,0.54901964,0
0.6,0.19607845,0.80000007
0.54509807,0,0
0.91372556,0.58823532,0.4784314
0.56078434,0.73725492,0.54509807
0.28235295,0.2392157,0.54509807
0.18431373,0.30980393,0.30980393
0,0.80784321,0.81960791
0.58039218,0,0.82745105
1,0.07843138,0.57647061
0,0.74901962,1
0.41176474,0.41176474,0.41176474
0.11764707,0.56470591,1
0.69803923,0.13333334,0.13333334
1,0.98039222,0.94117653
0.13333334,0.54509807,0.13333334
1,0,1
0.86274517,0.86274517,0.86274517
0.97254908,0.97254908,1
1,0.84313732,0
0.85490203,0.64705885,0.1254902
0.50196081,0.50196081,0.50196081
0,0.50196081,0
0.67843139,1,0.18431373
0.94117653,1,0.94117653
1,0.41176474,0.70588237
0.80392164,0.36078432,0.36078432
0.29411766,0,0.50980395
1,1,0.94117653
0.94117653,0.90196085,0.54901964
0.90196085,0.90196085,0.98039222
1,0.94117653,0.96078438
0.48627454,0.98823535,0
1,0.98039222,0.80392164
0.67843139,0.84705889,0.90196085
0.94117653,0.50196081,0.50196081
0.87843144,1,1
0.98039222,0.98039222,0.82352948
0.56470591,0.9333334,0.56470591
0.82745105,0.82745105,0.82745105
1,0.71372551,0.75686282
1,0.627451,0.4784314
0.1254902,0.69803923,0.66666669
0.52941179,0.80784321,0.98039222
0.4666667,0.53333336,0.60000002
0.6901961,0.76862752,0.8705883
1,1,0.87843144
0,1,0
0.19607845,0.80392164,0.19607845
0.98039222,0.94117653,0.90196085
1,0,1
0.50196081,0,0
0.40000004,0.80392164,0.66666669
0,0,0.80392164
0.72941178,0.33333334,0.82745105
0.57647061,0.43921572,0.8588236
0.23529413,0.7019608,0.44313729
0.48235297,0.40784317,0.9333334
0,0.98039222,0.60392159
0.28235295,0.81960791,0.80000007
0.78039223,0.08235294,0.52156866
0.09803923,0.09803923,0.43921572
0.96078438,1,0.98039222
1,0.89411771,0.88235301
1,0.89411771,0.70980394
1,0.8705883,0.67843139
0,0,0.50196081
0.99215692,0.96078438,0.90196085
0.50196081,0.50196081,0
0.41960788,0.55686277,0.13725491
1,0.64705885,0
1,0.27058825,0
0.85490203,0.43921572,0.83921576
0.9333334,0.90980399,0.66666669
0.59607846,0.98431379,0.59607846
0.68627453,0.9333334,0.9333334
0.8588236,0.43921572,0.57647061
1,0.93725497,0.83529419
1,0.85490203,0.72549021
0.80392164,0.52156866,0.24705884
1,0.75294125,0.7960785
0.86666673,0.627451,0.86666673
0.6901961,0.87843144,0.90196085
0.50196081,0,0.50196081
1,0,0
0.73725492,0.56078434,0.56078434
0.25490198,0.41176474,0.88235301
0.54509807,0.27058825,0.07450981
0.98039222,0.50196081,0.44705886
0.95686281,0.64313728,0.37647063
0.18039216,0.54509807,0.34117648
1,0.96078438,0.9333334
0.627451,0.32156864,0.17647059
0.75294125,0.75294125,0.75294125
0.52941179,0.80784321,0.92156869
0.41568631,0.35294119,0.80392164
0.43921572,0.50196081,0.56470591
1,0.98039222,0.98039222
0,1,0.49803925
0.27450982,0.50980395,0.70588237
0.82352948,0.70588237,0.54901964
0,0.50196081,0.50196081
0.84705889,0.74901962,0.84705889
1,0.38823533,0.27843139
0,0,0
0.25098041,0.87843144,0.81568635
0.9333334,0.50980395,0.9333334
0.96078438,0.8705883,0.7019608
1,1,1
0.96078438,0.96078438,0.96078438
1,1,0
0.60392159,0.80392164,0.19607845
