1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,1,38,37,36,35,34,33,32,31
1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,2,39,68,67,66,65,64,63,30
2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,3,40,69,90,89,88,87,62,29
2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,4,41,70,91,104,103,86,61,28
3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,5,42,71,92,105,102,85,60,27
3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,6,43,72,93,106,101,84,59,26
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,7,44,73,94,107,100,83,58,25
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,8,45,74,95,108,99,82,57,24
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,9,46,75,96,97,98,81,56,23
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,10,47,76,77,78,79,80,55,22
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,11,48,49,50,51,52,53,54,21
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,12,13,14,15,16,17,18,19,20
